id,detail_url
96418,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=96418
96404,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=96404
96385,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=96385
96382,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=96382
96361,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=96361
96349,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=96349
96336,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=96336
96326,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=96326
96320,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=96320
96312,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=96312
96307,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=96307
96296,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=96296
96292,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=96292
96288,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=96288
96279,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=96279
96270,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=96270
96263,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=96263
96260,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=96260
96248,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=96248
96212,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=96212
96208,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=96208
96195,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=96195
96173,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=96173
96166,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=96166
96150,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=96150
96137,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=96137
96105,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=96105
96104,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=96104
96098,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=96098
96074,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=96074
96067,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=96067
96057,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=96057
96047,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=96047
96046,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=96046
96045,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=96045
96040,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=96040
96039,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=96039
96036,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=96036
96034,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=96034
96028,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=96028
96019,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=96019
96009,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=96009
96003,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=96003
96000,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=96000
95999,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95999
95984,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95984
95973,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95973
95968,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95968
95954,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95954
95932,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95932
95920,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95920
95888,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95888
95866,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95866
95864,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95864
95861,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95861
95858,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95858
95766,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95766
95758,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95758
95734,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95734
95733,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95733
95724,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95724
95718,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95718
95694,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95694
95691,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95691
95690,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95690
95686,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95686
95683,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95683
95681,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95681
95675,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95675
95670,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95670
95661,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95661
95659,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95659
95640,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95640
95633,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95633
95598,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95598
95596,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95596
95549,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95549
95529,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95529
95512,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95512
95460,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95460
95459,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95459
95457,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95457
95455,https://gopy.danang.gov.vn/gop-y?pageid=view&ykien=95455
